net,length_um
_0495_,5.62µm
_1007_,5.62µm
_0620_,5.605µm
_0013_,5.6µm
_0256_,5.6µm
_0605_,5.6µm
_0880_,5.6µm
_0942_,5.6µm
_1077_,5.6µm
net8,5.6µm
_0080_,5.52µm
_0030_,5.48µm
_0133_,5.48µm
_0544_,5.48µm
_0594_,5.48µm
_0678_,5.48µm
_0910_,5.48µm
_0940_,5.48µm
_1139_,5.48µm
_1329_,5.48µm
_1086_,5.46µm
_0988_,5.435µm
_0116_,5.43µm
_0641_,5.425µm
_0463_,5.4µm
_0635_,5.4µm
_0776_,5.4µm
_0630_,5.38µm
_0935_,5.38µm
_1202_,5.36µm
_1335_,5.34µm
ui_in[2],5.32µm
uio_in[4],5.32µm
_0109_,5.28µm
_1318_,5.28µm
_0329_,5.26µm
_0364_,5.26µm
_0723_,5.26µm
_0990_,5.26µm
_0384_,5.24µm
_0953_,5.24µm
_0964_,5.24µm
_0223_,5.22µm
_0331_,5.22µm
_0736_,5.22µm
_1295_,5.22µm
uio_in[7],5.17µm
_0703_,5.16µm
_1274_,5.145µm
_0288_,5.14µm
_0334_,5.14µm
_0822_,5.14µm
_0932_,5.14µm
_1361_,5.14µm
_0054_,5.06µm
_0443_,5.06µm
_1123_,5.06µm
_0804_,5.02µm
_0637_,5µm
_0477_,4.94µm
_0608_,4.94µm
_0769_,4.94µm
_0787_,4.94µm
_0878_,4.94µm
_1095_,4.94µm
_0425_,4.92µm
_0441_,4.92µm
_0752_,4.92µm
_0780_,4.92µm
_1313_,4.92µm
_0274_,4.905µm
_0551_,4.9µm
_0843_,4.9µm
_1194_,4.9µm
_1347_,4.9µm
_0195_,4.88µm
_0200_,4.88µm
_0303_,4.88µm
_0413_,4.88µm
_1152_,4.88µm
uo_out[2],4.85µm
_0084_,4.82µm
_0198_,4.82µm
_0945_,4.82µm
_1192_,4.82µm
_0660_,4.8µm
_0664_,4.8µm
_0724_,4.8µm
_0768_,4.8µm
_1158_,4.8µm
_1211_,4.8µm
_1250_,4.8µm
_0719_,4.78µm
_0382_,4.68µm
_0640_,4.68µm
_0827_,4.68µm
_1317_,4.68µm
_0468_,4.6µm
_0609_,4.6µm
_1155_,4.6µm
_0958_,4.58µm
_1012_,4.58µm
_0801_,4.56µm
_0865_,4.54µm
_1176_,4.54µm
_0577_,4.52µm
_0019_,4.48µm
_0128_,4.48µm
_0444_,4.48µm
_1233_,4.48µm
_0003_,4.46µm
_0100_,4.46µm
_0376_,4.46µm
_0427_,4.46µm
_0676_,4.46µm
_1174_,4.46µm
_0583_,4.42µm
_0894_,4.42µm
_1258_,4.42µm
rst_n,4.37µm
ui_in[1],4.37µm
net53,4.37µm
net54,4.37µm
net61,4.37µm
_0408_,4.36µm
_0419_,4.36µm
_0421_,4.34µm
_0593_,4.34µm
_1297_,4.34µm
_1175_,4.32µm
_0715_,4.25µm
_0005_,4.22µm
_0784_,4.22µm
_1078_,4.22µm
_0838_,4.2µm
_0600_,4.14µm
_0747_,4.14µm
_0754_,4.14µm
_0725_,4.12µm
_0985_,4.12µm
_0895_,4.1µm
_1199_,4.1µm
_1271_,4.1µm
_0339_,4.095µm
ui_in[0],4.03µm
uio_in[5],4.03µm
uo_out[0],4.03µm
uo_out[5],4.03µm
_0101_,4.02µm
_0298_,4.02µm
_0525_,4.02µm
_0770_,4.02µm
_1167_,4.02µm
_0569_,4.015µm
_0391_,4µm
_0521_,4µm
_0574_,4µm
_0618_,4µm
_0753_,4µm
_1019_,4µm
_1213_,3.98µm
_0182_,3.9µm
_0653_,3.9µm
_1071_,3.9µm
_0062_,3.88µm
_0389_,3.88µm
_0537_,3.88µm
_0572_,3.88µm
_0590_,3.88µm
_0688_,3.88µm
_0767_,3.88µm
