Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_57_39,VGND,li1,21.3900,163.2000,0.000005
FILLER_57_36,VGND,li1,20.0100,163.2000,0.000005
FILLER_57_33,VGND,li1,18.6300,163.2000,0.000005
FILLER_57_30,VGND,li1,17.2500,163.2000,0.000005
FILLER_57_27,VGND,li1,15.8700,163.2000,0.000005
FILLER_57_24,VGND,li1,14.4900,163.2000,0.000005
FILLER_57_21,VGND,li1,13.1100,163.2000,0.000005
FILLER_57_18,VGND,li1,11.7300,163.2000,0.000005
FILLER_57_15,VGND,li1,10.3500,163.2000,0.000005
FILLER_57_12,VGND,li1,8.9700,163.2000,0.000005
FILLER_57_9,VGND,li1,7.5900,163.2000,0.000005
FILLER_57_6,VGND,li1,6.2100,163.2000,0.000005
FILLER_57_3,VGND,li1,4.8300,163.2000,0.000005
FILLER_56_360,VGND,li1,168.5900,157.7600,0.000005
FILLER_56_357,VGND,li1,167.6700,157.7600,0.000005
FILLER_56_354,VGND,li1,166.2900,157.7600,0.000005
FILLER_56_351,VGND,li1,164.9100,157.7600,0.000005
FILLER_56_348,VGND,li1,163.5300,157.7600,0.000005
FILLER_56_345,VGND,li1,162.1500,157.7600,0.000005
FILLER_56_342,VGND,li1,160.7700,157.7600,0.000005
FILLER_56_339,VGND,li1,159.3900,157.7600,0.000005
FILLER_56_336,VGND,li1,158.0100,157.7600,0.000005
FILLER_56_333,VGND,li1,156.6300,157.7600,0.000005
FILLER_56_330,VGND,li1,155.2500,157.7600,0.000005
FILLER_56_327,VGND,li1,153.8700,157.7600,0.000005
FILLER_56_324,VGND,li1,152.4900,157.7600,0.000005
FILLER_56_321,VGND,li1,151.1100,157.7600,0.000005
FILLER_56_318,VGND,li1,149.7300,157.7600,0.000005
FILLER_56_315,VGND,li1,148.3500,157.7600,0.000005
FILLER_56_312,VGND,li1,146.9700,157.7600,0.000005
FILLER_56_309,VGND,li1,145.5900,157.7600,0.000005
FILLER_56_307,VGND,li1,144.2100,157.7600,0.000005
FILLER_56_304,VGND,li1,143.2900,157.7600,0.000005
FILLER_56_301,VGND,li1,141.9100,157.7600,0.000005
FILLER_56_298,VGND,li1,140.5300,157.7600,0.000005
FILLER_56_295,VGND,li1,139.1500,157.7600,0.000005
FILLER_56_292,VGND,li1,137.7700,157.7600,0.000005
FILLER_56_289,VGND,li1,136.3900,157.7600,0.000005
FILLER_56_286,VGND,li1,135.0100,157.7600,0.000006
